From,To
Dpysl5,65208
Dpysl2,25416
Gnaz,25740
Ehd3,315499
Ehd3,192249
Dpysl3,25418
Agap2,65218
Gstm1,24423
Gstm3,499689
Gstm3,57298
Gstm3,81869
Hibadh,63938
Uqcrfs1,291103
Sbno1,304470
Tagln3,63837
Actr2,289820
Actr3,81732
Park7,364583
Park7,365828
Park7,117287
Cndp2,291394
Sccpdh,305021
Krt73,300248
Dnajc5,79130
Slc8a2,140447
Slc8a2,678722
Slc8a2,308384
Adar,81635
Slc8a1,29715
Gstm5,64352
Phb,688815
Phb,682062
Phb,302371
Phb,363569
Phb,366709
Phb,500387
Phb,25344
Phb,503457
Kif5b,117550
Sirt2,361532
Crmp1,25415
Snap91,65178
Ahcy,500370
Ahcy,29443
Ahcy,363813
Pebp1,29542
Prps1,298954
Prps1,29562
Asrgl1,246307
Rps3,140654
Rps3,690022
Rps3,499803
Eif5,56783
Eif5,295660
Eif5,501511
Syt12,191595
Dlg4,29495
Vdac1,363956
Vdac1,83529
Vdac1,314782
Dlg3,58948
Vdac3,83532
Vdac2,83531
Vdac2,362126
Kif2a,84391
Kif2a,364670
Hprt1,24465
Capzb,298584
Dlg2,64053
Add2,24171
Add1,24170
Dlg1,25252
Arhgdia,360678
Acsl6,117243
Arpc2,301511
Qdpr,64192
Atp5j2,690441
Atp5j2,684567
Cdk5,140908
Vat1,287721
Ivd,24513
Sdha,157074
Sdhb,298596
Acadvl,25363
Wasf1,294568
Atp6v1c1,299971
Coro1a,155151
Rhoa,117273
Rhoa,295342
Erc2,259269
Coro1b,29474
Eef2,29565
Eef2,305181
Rhob,64373
Sh3glb2,311848
Fxyd6,63847
Pcyox1,246302
Hk1,25058
Pik3cb,85243
Rpsa,367141
Rpsa,29236
Rpsa,364524
Rpsa,683125
Cyb5r1,304805
Hbb,24440
Aars,292023
Gars,297113
Hist1h4b,679983
Hist1h4b,680097
Hist1h4b,684887
Hist1h4b,679840
Hist1h4b,291152
Hist1h4b,64627
Hist1h4b,500351
Hist1h4b,684745
Hist1h4b,502913
Hist1h4b,684621
Hist1h4b,295277
Hist1h4b,682518
Hist1h4b,680430
Uchl1,29545
Pfn1,64303
Pfn2,81531
Glul,24957
Marcks,25603
Bcas1,246755
Synj1,85238
Myo5a,25017
Arl8b,500282
Prkaca,304649
Prkaca,25636
Pld3,361527
Prkacb,293508
Dab2ip,192126
Gria2,29627
Actb,81822
Nup155,117021
Atp6v1e1,297566
Trim2,361970
Slc25a1,29743
Rps9,681065
Rps9,81772
Rps9,300278
Rps9,501835
Slc25a3,245959
Ezr,54319
L1cam,50687
Sod1,24786
Rps8,502659
Rps8,65136
Rps8,500371
Kpnb1,24917
Them4,361992
Mapre3,298848
Rps7,500322
Rps7,29258
Rps7,365569
Plcb1,24654
Acsf2,619561
Ppp1r7,301618
Vcp,116643
Ap2s1,65046
Ctnnb1,84353
Aars2,301254
Clasp2,114514
Ppp1r9b,84686
Pip5k1c,314641
Dlat,81654
Rab14,94197
Cntnap1,84008
Cycs,690675
Cycs,682626
Cycs,679794
Cycs,689459
Cycs,684936
Cycs,683306
Cycs,25309
S100b,25742
Aldh7a1,291450
Aqp4,25293
Pcmt1,25604
Aifm1,83533
Stip1,192277
Stip1,688032
Stip1,691340
Krt10,450225
Opa1,171116
Shank2,171093
Gphn,64845
Slc6a1,79212
Hspa9,291671
Hspa9,295778
Hspa9,500372
Hspa8,498045
Hspa8,294046
Hspa8,314468
Hspa8,24468
Hspa8,365256
Hspa8,365951
Hspa8,689955
Hspa8,498426
Hspa8,679778
Hspa8,295112
Hspa8,366085
Hspa8,689908
Hspa8,298615
Hspa8,680121
Hspa8,310891
Hspa8,499479
Mapk1,116590
Phgdh,58835
Phgdh,692021
Phgdh,290415
Hspa5,25617
Hspa4,266759
Ddt,29318
Slc4a4,84484
Pabpc1,171350
Acadl,25287
Rab21,299799
Actc1,81633
Actc1,29275
Cdc42bpb,113960
Txnl1,140922
Ppfia4,140592
Ppfia3,140591
Akr1a1,78959
Dync1h1,29489
Hspd1,289614
Hspd1,687216
Hspd1,681318
Hspd1,308950
Hspd1,302797
Hspd1,684747
Hspd1,294396
Hspd1,292958
Hspd1,63868
Hspd1,291205
Tomm70a,680142
Tomm70a,304017
Grm3,24416
Grm3,689121
Vim,81818
Myo9b,25486
Ppib,64367
Ptprz1,25613
Dync1li1,252902
Ppia,361080
Ppia,500565
Ppia,314776
Ppia,364562
Ppia,25518
Pdhb,289950
Gpm6a,306439
Nptn,56064
Dnm3,171574
Tufm,293481
Cadps,26989
Alcam,79559
Rgs7,54296
Ddah1,83477
Ddah1,64157
Mag,29409
Rab2a,65158
Tmem39a,288092
Actr1a,294010
Gpd2,25062
Gpd1,60666
Dynll2,140734
